Date, Cost per Mb , Cost per Genome 
2001-09-01,5292.39,95263072
2002-03-01,3898.64,70175437
2002-09-01,3413.80,61448422
2003-03-01,2986.20,53751684
2003-10-01,2230.98,40157554
2004-01-01,1598.91,28780376
2004-04-01,1135.70,20442576
2004-07-01,1107.46,19934346
2004-10-01,1028.85,18519312
2005-01-01,974.16,17534970
2005-04-01,897.76,16159699
2005-07-01,898.9,16180224
2005-10-01,766.73,13801124
2006-01-01,699.2,12585659
2006-04-01,651.81,11732535
2006-07-01,636.41,11455315
2006-10-01,581.92,10474556
2007-01-01,522.71,9408739
2007-04-01,502.61,9047003
2007-07-01,495.96,8927342
2007-10-01,397.09,7147571
2008-01-01,102.13,3063820
2008-04-01,15.03,1352982
2008-07-01,8.36,752080
2008-10-01,3.81,342502
2009-01-01,2.59,232735
2009-04-01,1.72,154714
2009-07-01,1.2,108065
2009-10-01,0.78,70333
2010-01-01,0.52,46774
2010-04-01,0.35,31512
2010-07-01,0.35,31125
2010-10-01,0.32,29092
2011-01-01,0.23,20963
2011-04-01,0.19,16712
2011-07-01,0.12,10497
2011-10-01,0.09,7743
2012-01-01,0.09,7666
2012-04-01,0.07,5901
2012-07-01,0.07,5985
2012-10-01,0.07,6618
2013-01-01,0.06,5671
2013-04-01,0.06,5550
2013-07-01,0.06,5550
2013-10-01,0.06,5096
2014-01-01,0.04,4008
2014-04-01,0.05,4920
2014-07-01,0.05,4905
2014-10-01,0.06,5731
2015-01-01,0.04,3970
2015-04-01,0.05,4211
2015-07-01,0.015,1363
2015-10-01,0.014,1245
2016-05-01,0.013,1176
2016-08-01,0.017,1508
2016-11-01,0.015,1356
2017-02-01,0.011,1015
2017-05-01,0.015,1333
2017-08-01,0.013,1134
2017-11-01,0.02,1844
2018-02-01,0.014,1232
2018-05-01,0.016,1463
2018-08-01,0.016,1467
2018-11-01,0.015,1392
2019-02-01,0.012,1057
2019-05-01,0.007,606
2019-08-01,0.01,942
2019-11-01,0.008,695
2020-02-01,0.007,645
2020-05-01,0.008,702
